venue,total_matches,toss_bat_first_freq,bat_first_win_pct,avg_1st_innings_score
Arun Jaitley Stadium,14,42.9,50.0,168
"Arun Jaitley Stadium, Delhi",16,25.0,56.2,199
Barabati Stadium,7,28.6,57.1,168
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",14,42.9,57.1,165
Brabourne Stadium,10,60.0,60.0,180
"Brabourne Stadium, Mumbai",17,17.6,47.1,177
Dr DY Patil Sports Academy,17,41.2,41.2,147
"Dr DY Patil Sports Academy, Mumbai",20,15.0,50.0,171
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,13,38.5,46.2,157
Dubai International Cricket Stadium,46,41.3,50.0,164
Eden Gardens,77,36.4,39.0,160
"Eden Gardens, Kolkata",16,12.5,50.0,196
Feroz Shah Kotla,60,43.3,45.0,162
Himachal Pradesh Cricket Association Stadium,9,11.1,55.6,176
Holkar Cricket Stadium,9,11.1,11.1,160
JSCA International Stadium Complex,7,42.9,28.6,149
Kingsmead,15,66.7,53.3,152
M Chinnaswamy Stadium,80,11.2,45.0,169
"M Chinnaswamy Stadium, Bengaluru",14,0.0,57.1,196
MA Chidambaram Stadium,85,56.5,57.6,164
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",5,20.0,40.0,167
Maharashtra Cricket Association Stadium,22,9.1,36.4,166
"Maharashtra Cricket Association Stadium, Pune",13,15.4,76.9,171
"Narendra Modi Stadium, Ahmedabad",24,20.8,37.5,176
Nehru Stadium,5,40.0,60.0,147
New Wanderers Stadium,8,25.0,37.5,144
Newlands,7,57.1,71.4,139
Punjab Cricket Association IS Bindra Stadium,10,10.0,40.0,176
"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",5,0.0,60.0,198
"Punjab Cricket Association Stadium, Mohali",46,34.8,43.5,163
Rajiv Gandhi International Stadium,64,43.8,42.2,158
"Rajiv Gandhi International Stadium, Uppal, Hyderabad",13,53.8,53.8,188
"Sardar Patel Stadium, Motera",12,50.0,50.0,163
Saurashtra Cricket Association Stadium,10,30.0,30.0,169
Sawai Mansingh Stadium,47,40.4,31.9,158
"Sawai Mansingh Stadium, Jaipur",10,60.0,50.0,180
Shaheed Veer Narayan Singh International Stadium,6,50.0,33.3,146
Sharjah Cricket Stadium,28,28.6,35.7,159
Sheikh Zayed Stadium,29,51.7,44.8,159
St George's Park,7,100.0,42.9,159
Subrata Roy Sahara Stadium,16,93.8,62.5,149
SuperSport Park,12,50.0,33.3,155
Wankhede Stadium,118,25.4,45.8,170
"Zayed Cricket Stadium, Abu Dhabi",8,37.5,37.5,159
