Date,Team1,Team2,Venue,Time
2026-04-19,Kolkata Knight Riders,Rajasthan Royals,Eden Gardens,03:30 PM
2026-04-19,Punjab Kings,Lucknow Super Giants,Maharaja Yadavindra Singh PCA Stadium,07:30 PM
2026-04-20,Gujarat Titans,Mumbai Indians,Narendra Modi Stadium,07:30 PM
2026-04-21,Sunrisers Hyderabad,Delhi Capitals,Rajiv Gandhi International Cricket Stadium,07:30 PM
2026-04-22,Lucknow Super Giants,Rajasthan Royals,Bharat Ratna Shri Atal Bihari Vajpayee Ekana International Cricket Stadium,07:30 PM
2026-04-23,Mumbai Indians,Chennai Super Kings,Wankhede Stadium,07:30 PM
2026-04-24,Royal Challengers Bengaluru,Gujarat Titans,M. Chinnaswamy Stadium,07:30 PM
2026-04-25,Delhi Capitals,Punjab Kings,Arun Jaitley Stadium,03:30 PM
2026-04-25,Rajasthan Royals,Sunrisers Hyderabad,Sawai Mansingh Stadium,07:30 PM
2026-04-26,Chennai Super Kings,Gujarat Titans,M. A. Chidambaram Stadium,03:30 PM
2026-04-26,Lucknow Super Giants,Kolkata Knight Riders,Bharat Ratna Shri Atal Bihari Vajpayee Ekana International Cricket Stadium,07:30 PM
2026-04-27,Delhi Capitals,Royal Challengers Bengaluru,Arun Jaitley Stadium,07:30 PM
2026-04-28,Punjab Kings,Rajasthan Royals,Maharaja Yadavindra Singh PCA Stadium,07:30 PM
2026-04-29,Mumbai Indians,Sunrisers Hyderabad,Wankhede Stadium,07:30 PM
2026-04-30,Gujarat Titans,Royal Challengers Bengaluru,Narendra Modi Stadium,07:30 PM
2026-05-01,Rajasthan Royals,Delhi Capitals,Sawai Mansingh Stadium,07:30 PM
2026-05-02,Chennai Super Kings,Mumbai Indians,M. A. Chidambaram Stadium,07:30 PM
2026-05-03,Sunrisers Hyderabad,Kolkata Knight Riders,Rajiv Gandhi International Cricket Stadium,03:30 PM
2026-05-03,Gujarat Titans,Punjab Kings,Narendra Modi Stadium,07:30 PM
2026-05-04,Mumbai Indians,Lucknow Super Giants,Wankhede Stadium,07:30 PM
